,Title,Link,Price,Image,Year,Brand,Location,Kms Covered,Fuel Type,Type
0,2014 Maruti Suzuki Celerio VXI AT,https://www.cardekho.com/used-car-details/used-Maruti-celerio-vxi-at-cars-Gurgaon_e6afcfdd-dbaf-42e0-816e-1e277248e2db.htm?adId=19867&adType=41,231000.0,https://images10.gaadi.com/usedcar_image/4994170/original/processed_processed_82f1ba8b-8109-4afb-851e-787c84ed0dec.jpg?imwidth=640,2014,Maruti,"Badshahpur, Gurgaon",60000.0,Petrol,Automatic
1,2019 Maruti Suzuki Ciaz Zeta BSIV,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-zeta-bsiv-cars-New-Delhi_a8d6a82f-07ca-4498-92eb-4bae5457c145.htm,575000.0,https://images10.gaadi.com/usedcar_image/5163262/original/processed_b58e234f-43e3-426d-9e89-105322a9ef6f.jpg?imwidth=640,2019,Maruti,"Lajpat Nagar, New Delhi",58000.0,Petrol,Manual
2,2018 Maruti Suzuki Ciaz Delta BSIV,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-delta-bsiv-cars-New-Delhi_ca0c7d1f-13a1-4568-82b7-fb306e20180a.htm,575000.0,https://images10.gaadi.com/usedcar_image/5070581/original/processed_0a5ddf7e-0d60-4f22-9db0-077899dac11e.jpg?imwidth=640,2018,Maruti,"Lajpat Nagar, New Delhi",41000.0,Petrol,Manual
3,2022 Maruti Suzuki XL6 Alpha AT BSVI,https://www.cardekho.com/buy-used-car-details/used-Maruti-xl6-alpha-at-bsvi-cars-Ghaziabad_11894933-25f4-4398-a4f6-d4bb72a30088.htm,1092000.0,https://images10.gaadi.com/usedcar_image/5162290/original/36e4c5d9bb17342c28c7da1e7a5d375e.JPG?imwidth=640,2022,Maruti,"Indirapuram, Ghaziabad",53366.0,Petrol,Automatic
4,2019 Maruti Suzuki Ertiga 1.5 VDI,https://www.cardekho.com/used-car-details/used-Maruti-ertiga-15-vdi-cars-Greater-Noida_bd79dfc9-937f-411c-b8f0-bbe4dd7560bb.htm?adId=20368&adType=41,830000.0,https://images10.gaadi.com/usedcar_image/5080650/original/processed_processed_fb8709a7-3555-4f09-af0c-0f79fbf5d89e.jpg?imwidth=640,2019,Maruti,Greater Noida,146000.0,Diesel,Manual
5,2022 Maruti Suzuki Grand Vitara Zeta BSVI,https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-zeta-bsvi-cars-Gurgaon_7f5ff5a3-e17b-4f3f-97da-3807fd199bfe.htm,995000.0,https://images10.gaadi.com/usedcar_image/5163257/original/processed_322cfb7b-022c-4a93-b2aa-6dee2f2776db.jpg?imwidth=640,2022,Maruti,"Sector 12, Gurgaon",62563.0,Petrol,Manual
6,2022 Maruti Suzuki XL6 Alpha Plus AT,https://www.cardekho.com/buy-used-car-details/used-Maruti-xl6-alpha-plus-at-cars-New-Delhi_ced09c59-a072-4cec-ba57-511188667fbc.htm,1147000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Maruti,"Dwarka Sector-6, New Delhi",50202.0,Petrol,Automatic
7,2019 Maruti Suzuki Ciaz Alpha Automatic BSIV,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-alpha-automatic-bsiv-cars-New-Delhi_302aa545-0bcc-47e3-9f78-b5f61631ed95.htm,615000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Maruti,"Rohini Sector 25, New Delhi",55000.0,Petrol,Automatic
8,2018 Maruti Suzuki Ciaz Delta BSIV,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-delta-bsiv-cars-Ghaziabad_053a8186-a05f-43b2-a413-6094ae1d3cc0.htm?adId=19610&adType=41,495000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Maruti,"Vijai Nagar, Ghaziabad",80000.0,Petrol,Manual
9,2022 Maruti Suzuki XL6 Alpha,https://www.cardekho.com/buy-used-car-details/used-Maruti-xl6-alpha-cars-New-Delhi_188d2075-9554-4d7d-a29b-0efc1bc99724.htm,914000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Maruti,"Dwarka Sector-6, New Delhi",48759.0,Petrol,Manual
10,2019 Maruti Suzuki Ciaz Delta BSIV,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-delta-bsiv-cars-New-Delhi_b7e39200-113d-4b7c-9548-6bc4c8b9202c.htm,570000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Maruti,"G.T.B.Nagar S.O, New Delhi",78000.0,Petrol,Manual
