,Title,Link,Location,Price,Image,Owner,Year,Kms Covered,Fuel Type,Type,Brand
0,Porsche 911,https://www.olx.in/item/cars-c84-used-porsche-911-in-rajouri-garden-delhi-iid-1835301823?rank=0,Rajouri Garden,24475000.0,https://apollo.olx.in:443/v1/files/xh2jctgn7oje2-IN/image;s=150x0;q=50;f=webp;,1,2025,895.0,Petrol,,Porsche
1,Mercedes-Benz AMG GLE Coupe,https://www.olx.in/item/cars-c84-used-mercedes-benz-amg-gle-coupe-in-rajouri-garden-delhi-iid-1836649741?rank=1,Rajouri Garden,12900000.0,https://apollo.olx.in:443/v1/files/mta7txri1a2y1-IN/image;s=150x0;q=50;f=webp;,1,2025,9700.0,Petrol,Automatic,Mercedes-Benz
2,Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-vikaspuri-delhi-iid-1818064951?rank=2,Vikaspuri,13575000.0,https://apollo.olx.in:443/v1/files/ov1ski0o9ysv-IN/image;s=150x0;q=50;f=webp;,1,2021,52000.0,Petrol,Automatic,Land Rover
3,Porsche CARRERA,https://www.olx.in/item/cars-c84-used-porsche-carrera-in-paschim-vihar-delhi-iid-1835988678?rank=3,Paschim Vihar,22975000.0,https://apollo.olx.in:443/v1/files/dbww3copx4ls1-IN/image;s=150x0;q=50;f=webp;,1,2024,2500.0,Petrol,Automatic,Porsche
4,BMW X7,https://www.olx.in/item/cars-c84-used-bmw-x7-in-paschim-vihar-delhi-iid-1825360473?rank=4,Paschim Vihar,8800000.0,https://apollo.olx.in:443/v1/files/n90pxrsjnnq52-IN/image;s=150x0;q=50;f=webp;,1,2022,44000.0,Diesel,Automatic,BMW
5,BMW Z4,https://www.olx.in/item/cars-c84-used-bmw-z4-in-rajouri-garden-delhi-iid-1805581196?rank=5,Rajouri Garden,9150000.0,https://apollo.olx.in:443/v1/files/v3zczhs2mhl52-IN/image;s=150x0;q=50;f=webp;,1,2025,12000.0,Petrol,Automatic,BMW
6,Lexus LX,https://www.olx.in/item/cars-c84-used-lexus-lx-in-punjabi-bagh-west-delhi-iid-1828945081?rank=6,Punjabi Bagh West,27000000.0,https://apollo.olx.in:443/v1/files/uz29sn8srkvn2-IN/image;s=150x0;q=50;f=webp;,1,2023,10000.0,Diesel,Automatic,
7,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-rajouri-garden-delhi-iid-1828944668?rank=7,Rajouri Garden,22100000.0,https://apollo.olx.in:443/v1/files/pfuwryeouicp2-IN/image;s=150x0;q=50;f=webp;,1,2023,15000.0,Diesel,Automatic,
8,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1828942135?rank=8,Vikaspuri,22100000.0,https://apollo.olx.in:443/v1/files/e4ibgsq366br3-IN/image;s=150x0;q=50;f=webp;,1,2023,10000.0,Diesel,Automatic,
9,Mercedes-Benz GLS,https://www.olx.in/item/cars-c84-used-mercedes-benz-gls-in-punjabi-bagh-west-delhi-iid-1836716386?rank=9,Punjabi Bagh West,9500000.0,https://apollo.olx.in:443/v1/files/8mk3chqakvp63-IN/image;s=150x0;q=50;f=webp;,1,2023,320000.0,Diesel,Automatic,Mercedes-Benz
10,Ferrari California,https://www.olx.in/item/cars-c84-used-ferrari-california-in-rajouri-garden-delhi-iid-1836606062?rank=10,Rajouri Garden,16500000.0,https://apollo.olx.in:443/v1/files/iddm8jd16i3a3-IN/image;s=150x0;q=50;f=webp;,1,2013,14000.0,Petrol,Automatic,Ferrari
11,Mercedes-Benz GLE,https://www.olx.in/item/cars-c84-used-mercedes-benz-gle-in-rajouri-garden-delhi-iid-1836572241?rank=11,Rajouri Garden,8290000.0,https://apollo.olx.in:443/v1/files/dkky1lv36hw81-IN/image;s=150x0;q=50;f=webp;,1,2022,27000.0,Petrol,Automatic,Mercedes-Benz
12,Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-pitampura-delhi-iid-1836270076?rank=12,Pitampura,8895000.0,https://apollo.olx.in:443/v1/files/br3qratzdw7z2-IN/image;s=150x0;q=50;f=webp;,1,2022,65000.0,Petrol,Automatic,Land Rover
13,Ferrari 458 Spider,https://www.olx.in/item/cars-c84-used-ferrari-458-spider-in-rajouri-garden-delhi-iid-1836171179?rank=13,Rajouri Garden,37500000.0,https://apollo.olx.in:443/v1/files/u7au66zg0xbf2-IN/image;s=150x0;q=50;f=webp;,,2015,16000.0,,,Ferrari
14,Ferrari 488 GTB,https://www.olx.in/item/cars-c84-used-ferrari-488-gtb-in-rajouri-garden-delhi-iid-1836149771?rank=14,Rajouri Garden,40000000.0,https://apollo.olx.in:443/v1/files/3p4u8vxcidpa-IN/image;s=150x0;q=50;f=webp;,,2018,10000.0,,,Ferrari
15,Porsche 718,https://www.olx.in/item/cars-c84-used-porsche-718-in-vikaspuri-delhi-iid-1836107404?rank=15,Vikaspuri,8900000.0,https://apollo.olx.in:443/v1/files/qxht1qw0x5vn3-IN/image;s=150x0;q=50;f=webp;,2,2020,40000.0,Petrol,Automatic,Porsche
16,Mercedes-Benz CLE cabriolet,https://www.olx.in/item/cars-c84-used-mercedes-benz-cle-cabriolet-in-paschim-vihar-delhi-iid-1836099417?rank=16,Paschim Vihar,9975000.0,https://apollo.olx.in:443/v1/files/uys343zzxcwn1-IN/image;s=150x0;q=50;f=webp;,1,2024,2000.0,Petrol,Automatic,Mercedes-Benz
17,Lamborghini Aventador,https://www.olx.in/item/cars-c84-used-lamborghini-aventador-in-rajouri-garden-delhi-iid-1836069722?rank=17,Rajouri Garden,27500000.0,https://apollo.olx.in:443/v1/files/pvc6dxj0kmy43-IN/image;s=150x0;q=50;f=webp;,,2012,20000.0,,,
18,Lamborghini Urus SE,https://www.olx.in/item/cars-c84-used-lamborghini-urus-se-in-rajouri-garden-delhi-iid-1836063607?rank=18,Rajouri Garden,32500000.0,https://apollo.olx.in:443/v1/files/pcnf81ev79lq3-IN/image;s=150x0;q=50;f=webp;,,2021,20000.0,,Automatic,
19,Aston Martin DBX,https://www.olx.in/item/cars-c84-used-aston-martin-dbx-in-rajouri-garden-delhi-iid-1836063294?rank=19,Rajouri Garden,25000000.0,https://apollo.olx.in:443/v1/files/hz5rd2xj18y91-IN/image;s=150x0;q=50;f=webp;,1,2020,11700.0,Petrol,Automatic,
20,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1830237079?rank=20,Vikaspuri,23099999.0,https://apollo.olx.in:443/v1/files/nxcokpmzai4q1-IN/image;s=150x0;q=50;f=webp;,1,2024,17000.0,Petrol,Automatic,
21,Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-vikaspuri-delhi-iid-1813492236?rank=21,Vikaspuri,13575000.0,https://apollo.olx.in:443/v1/files/9377b9xn24m6-IN/image;s=150x0;q=50;f=webp;,1,2021,52352.0,Petrol,Automatic,Land Rover
22,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-paschim-vihar-delhi-iid-1835882437?rank=22,Paschim Vihar,26000000.0,https://apollo.olx.in:443/v1/files/p5xlj5y5z5jj2-IN/image;s=150x0;q=50;f=webp;,1,2026,23.0,Petrol,Automatic,
23,Lamborghini Huracan,https://www.olx.in/item/cars-c84-used-lamborghini-huracan-in-rajouri-garden-delhi-iid-1836061543?rank=23,Rajouri Garden,26500000.0,https://apollo.olx.in:443/v1/files/mq8oukblce1e-IN/image;s=150x0;q=50;f=webp;,2,2016,20000.0,,,
24,Rolls-Royce Ghost,https://www.olx.in/item/cars-c84-used-rolls-royce-ghost-in-rajouri-garden-delhi-iid-1836059137?rank=24,Rajouri Garden,17500000.0,https://apollo.olx.in:443/v1/files/sfgr8bh454qh1-IN/image;s=150x0;q=50;f=webp;,2,2013,50000.0,,,
25,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-rajouri-garden-delhi-iid-1836052713?rank=25,Rajouri Garden,8000000.0,https://apollo.olx.in:443/v1/files/233n4qh5zk651-IN/image;s=150x0;q=50;f=webp;,1,2023,55000.0,,,
26,BMW X7,https://www.olx.in/item/cars-c84-used-bmw-x7-in-rajouri-garden-delhi-iid-1836050729?rank=26,Rajouri Garden,9800000.0,https://apollo.olx.in:443/v1/files/f66kzhuouczg-IN/image;s=150x0;q=50;f=webp;,1,2024,23000.0,Diesel,Automatic,BMW
27,Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-paschim-vihar-delhi-iid-1836050503?rank=27,Paschim Vihar,19975000.0,https://apollo.olx.in:443/v1/files/qn1eg4r8wdqc-IN/image;s=150x0;q=50;f=webp;,1,2023,52000.0,Petrol,,Land Rover
28,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-paschim-vihar-delhi-iid-1836041316?rank=28,Paschim Vihar,8175000.0,https://apollo.olx.in:443/v1/files/nftn74b7awtg-IN/image;s=150x0;q=50;f=webp;,1,2022,46000.0,Petrol,Automatic,
29,Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-vikaspuri-delhi-iid-1812045671?rank=29,Vikaspuri,13575000.0,https://apollo.olx.in:443/v1/files/yv2cgz3z2zie-IN/image;s=150x0;q=50;f=webp;,1,2021,54000.0,Petrol,Automatic,Land Rover
30,Porsche 718 CAYMAN,https://www.olx.in/item/cars-c84-used-porsche-718-cayman-in-rajouri-garden-delhi-iid-1807731402?rank=30,Rajouri Garden,8000000.0,https://apollo.olx.in:443/v1/files/416wkzzrygls-IN/image;s=150x0;q=50;f=webp;,2,2018,25000.0,,,Porsche
31,Mercedes-Benz G-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-g-class-in-paschim-vihar-delhi-iid-1835890159?rank=31,Paschim Vihar,21975000.0,https://apollo.olx.in:443/v1/files/sfw7qv9lo42l-IN/image;s=150x0;q=50;f=webp;,1,2019,39000.0,Petrol,Automatic,Mercedes-Benz
32,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-paschim-vihar-delhi-iid-1835881611?rank=32,Paschim Vihar,26000000.0,https://apollo.olx.in:443/v1/files/fibzux6lzujh-IN/image;s=150x0;q=50;f=webp;,1,2026,10.0,Petrol,Automatic,
33,Audi 2.9 Sportback,https://www.olx.in/item/cars-c84-used-audi-29-sportback-in-rajouri-garden-delhi-iid-1807733528?rank=33,Rajouri Garden,9000000.0,https://apollo.olx.in:443/v1/files/p1cinhl16v671-IN/image;s=150x0;q=50;f=webp;,2,2018,25000.0,,,
34,Mercedes-Benz G Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-g-class-in-punjabi-bagh-west-delhi-iid-1835682286?rank=34,Punjabi Bagh West,27500000.0,https://apollo.olx.in:443/v1/files/pztwdy2cxb6d3-IN/image;s=150x0;q=50;f=webp;,1,2024,11000.0,Diesel,Automatic,Mercedes-Benz
35,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-rajouri-garden-delhi-iid-1835299668?rank=35,Rajouri Garden,22975000.0,https://apollo.olx.in:443/v1/files/swd8yestvlv22-IN/image;s=150x0;q=50;f=webp;,1,2025,2000.0,Diesel,Automatic,
36,Mercedes-Benz GLE,https://www.olx.in/item/cars-c84-used-mercedes-benz-gle-in-rohini-sector-3-delhi-iid-1835661285?rank=36,Rohini Sector 3,11000000.0,https://apollo.olx.in:443/v1/files/1g4qvxjexe2w3-IN/image;s=150x0;q=50;f=webp;,1,2024,14500.0,Petrol,Automatic,Mercedes-Benz
37,Porsche 718,https://www.olx.in/item/cars-c84-used-porsche-718-in-punjabi-bagh-west-delhi-iid-1835255089?rank=37,Punjabi Bagh West,8100000.0,https://apollo.olx.in:443/v1/files/m37c9unqtgv52-IN/image;s=150x0;q=50;f=webp;,,2020,19000.0,Petrol,Automatic,Porsche
