Title,Link,Location,Price,Information,Image,Brand
Skoda Slavia,https://www.olx.in/item/cars-c84-used-skoda-slavia-in-bali-nagar-delhi-iid-1836976248?rank=0,Bali Nagar,"₹ 12,50,000","2023 - 45,000 km",https://apollo.olx.in:443/v1/files/4e0x48rz3m583-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Ford Ecosport,https://www.olx.in/item/cars-c84-used-ford-ecosport-in-rajouri-garden-delhi-iid-1835583426?rank=1,Rajouri Garden,"₹ 2,85,000","2014 - 65,000 km",https://apollo.olx.in:443/v1/files/mb5jfzv57gr7-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Ford Figo,https://www.olx.in/item/cars-c84-used-ford-figo-in-rajouri-garden-delhi-iid-1826548464?rank=2,Rajouri Garden,"₹ 3,75,000","2019 - 42,000 km",https://apollo.olx.in:443/v1/files/2vftmr54s5hs2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-subhash-nagar-delhi-iid-1836607151?rank=3,Subhash Nagar,"₹ 4,99,999","2016 - 60,000 km",https://apollo.olx.in:443/v1/files/6c1jfi8ai1b93-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra Thar,https://www.olx.in/item/cars-c84-used-mahindra-thar-in-rajouri-garden-delhi-iid-1836872346?rank=4,Rajouri Garden,"₹ 12,25,000","2024 - 30,000 km",https://apollo.olx.in:443/v1/files/9nw3e2jxq89g1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Alto-K10,https://www.olx.in/item/cars-c84-used-maruti-suzuki-alto-k10-in-paschim-vihar-delhi-iid-1807272055?rank=5,Paschim Vihar,"₹ 2,10,000","2014 - 70,327 km",https://apollo.olx.in:443/v1/files/z0c1oeht1v4y1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Vitara-Brezza,https://www.olx.in/item/cars-c84-used-maruti-suzuki-vitara-brezza-in-paschim-vihar-delhi-iid-1807271653?rank=6,Paschim Vihar,"₹ 5,90,000","2016 - 74,381 km",https://apollo.olx.in:443/v1/files/f3qeie02d37m-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Ertiga,https://www.olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-paschim-vihar-delhi-iid-1807271187?rank=7,Paschim Vihar,"₹ 3,95,000","2012 - 62,941 km",https://apollo.olx.in:443/v1/files/iiy2jv8ocxic1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra XUV700,https://www.olx.in/item/cars-c84-used-mahindra-xuv700-in-pitampura-delhi-iid-1835214649?rank=8,Pitampura,"₹ 21,90,000","2024 - 30,000 km",https://apollo.olx.in:443/v1/files/1r6hgi81amy33-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra Scorpio-N,https://www.olx.in/item/cars-c84-used-mahindra-scorpio-n-in-pitampura-delhi-iid-1835214219?rank=9,Pitampura,"₹ 20,50,000","2024 - 30,000 km",https://apollo.olx.in:443/v1/files/67gtkcei49gv1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Fortuner,https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-pitampura-delhi-iid-1835213967?rank=10,Pitampura,"₹ 18,90,000","2018 - 145,000 km",https://apollo.olx.in:443/v1/files/jee4ij3iipfr-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Kia Sonet,https://www.olx.in/item/cars-c84-used-kia-sonet-in-raja-garden-delhi-iid-1834764494?rank=11,Raja Garden,"₹ 8,19,830","2020 - 48,478 km",https://apollo.olx.in:443/v1/files/2ik7uik81x1e1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Santro,https://www.olx.in/item/cars-c84-used-hyundai-santro-in-raja-garden-delhi-iid-1836607443?rank=12,Raja Garden,"₹ 4,11,000","2021 - 76,227 km",https://apollo.olx.in:443/v1/files/nirhi9wj10m53-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Elite i20,https://www.olx.in/item/cars-c84-used-hyundai-elite-i20-in-raja-garden-delhi-iid-1836159216?rank=13,Raja Garden,"₹ 5,09,000","2018 - 61,865 km",https://apollo.olx.in:443/v1/files/nb0xtvbhnfwu-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Ciaz,https://www.olx.in/item/cars-c84-used-maruti-suzuki-ciaz-in-raja-garden-delhi-iid-1835213543?rank=14,Raja Garden,"₹ 5,62,000","2017 - 49,962 km",https://apollo.olx.in:443/v1/files/ug35f6vsjke82-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
