Title,Link,Location,Price,Information,Image,Detail,Owner
Porsche 911,https://www.olx.in/item/cars-c84-used-porsche-911-in-rajouri-garden-delhi-iid-1835301823?rank=0,Rajouri Garden,"₹ 2,44,75,000",2025 - 895 km,https://apollo.olx.in:443/v1/files/xh2jctgn7oje2-IN/image;s=150x0;q=50;f=webp;,"Petrol , --",1st
Mercedes-Benz AMG GLE Coupe,https://www.olx.in/item/cars-c84-used-mercedes-benz-amg-gle-coupe-in-rajouri-garden-delhi-iid-1836649741?rank=1,Rajouri Garden,"₹ 1,29,00,000","2025 - 9,700 km",https://apollo.olx.in:443/v1/files/mta7txri1a2y1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-vikaspuri-delhi-iid-1818064951?rank=2,Vikaspuri,"₹ 1,35,75,000","2021 - 52,000 km",https://apollo.olx.in:443/v1/files/ov1ski0o9ysv-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Porsche CARRERA,https://www.olx.in/item/cars-c84-used-porsche-carrera-in-paschim-vihar-delhi-iid-1835988678?rank=3,Paschim Vihar,"₹ 2,29,75,000","2024 - 2,500 km",https://apollo.olx.in:443/v1/files/dbww3copx4ls1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
BMW X7,https://www.olx.in/item/cars-c84-used-bmw-x7-in-paschim-vihar-delhi-iid-1825360473?rank=4,Paschim Vihar,"₹ 88,00,000","2022 - 44,000 km",https://apollo.olx.in:443/v1/files/n90pxrsjnnq52-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",1st
BMW Z4,https://www.olx.in/item/cars-c84-used-bmw-z4-in-rajouri-garden-delhi-iid-1805581196?rank=5,Rajouri Garden,"₹ 91,50,000","2025 - 12,000 km",https://apollo.olx.in:443/v1/files/v3zczhs2mhl52-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Lexus LX,https://www.olx.in/item/cars-c84-used-lexus-lx-in-punjabi-bagh-west-delhi-iid-1828945081?rank=6,Punjabi Bagh West,"₹ 2,70,00,000","2023 - 10,000 km",https://apollo.olx.in:443/v1/files/uz29sn8srkvn2-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",1st
Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-rajouri-garden-delhi-iid-1828944668?rank=7,Rajouri Garden,"₹ 2,21,00,000","2023 - 15,000 km",https://apollo.olx.in:443/v1/files/pfuwryeouicp2-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",1st
Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1828942135?rank=8,Vikaspuri,"₹ 2,21,00,000","2023 - 10,000 km",https://apollo.olx.in:443/v1/files/e4ibgsq366br3-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",1st
Mercedes-Benz GLS,https://www.olx.in/item/cars-c84-used-mercedes-benz-gls-in-punjabi-bagh-west-delhi-iid-1836716386?rank=9,Punjabi Bagh West,"₹ 95,00,000","2023 - 320,000 km",https://apollo.olx.in:443/v1/files/8mk3chqakvp63-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",1st
Ferrari California,https://www.olx.in/item/cars-c84-used-ferrari-california-in-rajouri-garden-delhi-iid-1836606062?rank=10,Rajouri Garden,"₹ 1,65,00,000","2013 - 14,000 km",https://apollo.olx.in:443/v1/files/iddm8jd16i3a3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Mercedes-Benz GLE,https://www.olx.in/item/cars-c84-used-mercedes-benz-gle-in-rajouri-garden-delhi-iid-1836572241?rank=11,Rajouri Garden,"₹ 82,90,000","2022 - 27,000 km",https://apollo.olx.in:443/v1/files/dkky1lv36hw81-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-pitampura-delhi-iid-1836270076?rank=12,Pitampura,"₹ 88,95,000","2022 - 65,000 km",https://apollo.olx.in:443/v1/files/br3qratzdw7z2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Ferrari 458 Spider,https://www.olx.in/item/cars-c84-used-ferrari-458-spider-in-rajouri-garden-delhi-iid-1836171179?rank=13,Rajouri Garden,"₹ 3,75,00,000","2015 - 16,000 km",https://apollo.olx.in:443/v1/files/u7au66zg0xbf2-IN/image;s=150x0;q=50;f=webp;,"-- , --",--
Ferrari 488 GTB,https://www.olx.in/item/cars-c84-used-ferrari-488-gtb-in-rajouri-garden-delhi-iid-1836149771?rank=14,Rajouri Garden,"₹ 4,00,00,000","2018 - 10,000 km",https://apollo.olx.in:443/v1/files/3p4u8vxcidpa-IN/image;s=150x0;q=50;f=webp;,"-- , --",--
Porsche 718,https://www.olx.in/item/cars-c84-used-porsche-718-in-vikaspuri-delhi-iid-1836107404?rank=15,Vikaspuri,"₹ 89,00,000","2020 - 40,000 km",https://apollo.olx.in:443/v1/files/qxht1qw0x5vn3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",2nd
Mercedes-Benz CLE cabriolet,https://www.olx.in/item/cars-c84-used-mercedes-benz-cle-cabriolet-in-paschim-vihar-delhi-iid-1836099417?rank=16,Paschim Vihar,"₹ 99,75,000","2024 - 2,000 km",https://apollo.olx.in:443/v1/files/uys343zzxcwn1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Lamborghini Aventador,https://www.olx.in/item/cars-c84-used-lamborghini-aventador-in-rajouri-garden-delhi-iid-1836069722?rank=17,Rajouri Garden,"₹ 2,75,00,000","2012 - 20,000 km",https://apollo.olx.in:443/v1/files/pvc6dxj0kmy43-IN/image;s=150x0;q=50;f=webp;,"-- , --",--
Lamborghini Urus SE,https://www.olx.in/item/cars-c84-used-lamborghini-urus-se-in-rajouri-garden-delhi-iid-1836063607?rank=18,Rajouri Garden,"₹ 3,25,00,000","2021 - 20,000 km",https://apollo.olx.in:443/v1/files/pcnf81ev79lq3-IN/image;s=150x0;q=50;f=webp;,"-- , Automatic",--
Aston Martin DBX,https://www.olx.in/item/cars-c84-used-aston-martin-dbx-in-rajouri-garden-delhi-iid-1836063294?rank=19,Rajouri Garden,"₹ 2,50,00,000","2020 - 11,700 km",https://apollo.olx.in:443/v1/files/hz5rd2xj18y91-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1830237079?rank=20,Vikaspuri,"₹ 2,30,99,999","2024 - 17,000 km",https://apollo.olx.in:443/v1/files/nxcokpmzai4q1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-vikaspuri-delhi-iid-1813492236?rank=21,Vikaspuri,"₹ 1,35,75,000","2021 - 52,352 km",https://apollo.olx.in:443/v1/files/9377b9xn24m6-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-paschim-vihar-delhi-iid-1835882437?rank=22,Paschim Vihar,"₹ 2,60,00,000",2026 - 23 km,https://apollo.olx.in:443/v1/files/p5xlj5y5z5jj2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Lamborghini Huracan,https://www.olx.in/item/cars-c84-used-lamborghini-huracan-in-rajouri-garden-delhi-iid-1836061543?rank=23,Rajouri Garden,"₹ 2,65,00,000","2016 - 20,000 km",https://apollo.olx.in:443/v1/files/mq8oukblce1e-IN/image;s=150x0;q=50;f=webp;,"-- , --",2nd
Rolls-Royce Ghost,https://www.olx.in/item/cars-c84-used-rolls-royce-ghost-in-rajouri-garden-delhi-iid-1836059137?rank=24,Rajouri Garden,"₹ 1,75,00,000","2013 - 50,000 km",https://apollo.olx.in:443/v1/files/sfgr8bh454qh1-IN/image;s=150x0;q=50;f=webp;,"-- , --",2nd
Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-rajouri-garden-delhi-iid-1836052713?rank=25,Rajouri Garden,"₹ 80,00,000","2023 - 55,000 km",https://apollo.olx.in:443/v1/files/233n4qh5zk651-IN/image;s=150x0;q=50;f=webp;,"-- , --",1st
BMW X7,https://www.olx.in/item/cars-c84-used-bmw-x7-in-rajouri-garden-delhi-iid-1836050729?rank=26,Rajouri Garden,"₹ 98,00,000","2024 - 23,000 km",https://apollo.olx.in:443/v1/files/f66kzhuouczg-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",1st
Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-paschim-vihar-delhi-iid-1836050503?rank=27,Paschim Vihar,"₹ 1,99,75,000","2023 - 52,000 km",https://apollo.olx.in:443/v1/files/qn1eg4r8wdqc-IN/image;s=150x0;q=50;f=webp;,"Petrol , --",1st
Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-paschim-vihar-delhi-iid-1836041316?rank=28,Paschim Vihar,"₹ 81,75,000","2022 - 46,000 km",https://apollo.olx.in:443/v1/files/nftn74b7awtg-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-vikaspuri-delhi-iid-1812045671?rank=29,Vikaspuri,"₹ 1,35,75,000","2021 - 54,000 km",https://apollo.olx.in:443/v1/files/yv2cgz3z2zie-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Porsche 718 CAYMAN,https://www.olx.in/item/cars-c84-used-porsche-718-cayman-in-rajouri-garden-delhi-iid-1807731402?rank=30,Rajouri Garden,"₹ 80,00,000","2018 - 25,000 km",https://apollo.olx.in:443/v1/files/416wkzzrygls-IN/image;s=150x0;q=50;f=webp;,"-- , --",2nd
